sizeof(int64_t)=8 sizeof(char)1
return new_buf:824193073 824193072
return new_buf:539242591 67502084
return new_buf:822083329 822083329
return new_buf:808456244 808456240
return new_buf:506474545 16
return new_buf:808464433 3145728
return new_buf:270551857 16711729
return new_buf:808464517 268447792
return new_buf:33310449 31672049
return new_buf:825360206 151020544
return new_buf:243928714 12865
return new_buf:1315889 64
return new_buf:824193073 805306468
return new_buf:8400945 8323072
return new_buf:16789553 16789553
return new_buf:3618392 3618392
return new_buf:654311463 262144
return new_buf:6184542 1048576
return new_buf:5188658 1
return new_buf:942682400 100663045
return new_buf:6553642 801892
return new_buf:285081085 270597376
return new_buf:206794801 206794801
return new_buf:808464449 63744
return new_buf:489758001 1913117
return new_buf:808464433 48
return new_buf:825254961 825241648
return new_buf:271654961 197120
return new_buf:523251761 2
return new_buf:892809265 892809248
return new_buf:830540560 32512
return new_buf:875770417 875770417
return new_buf:828387377 828387377
return new_buf:805382449 3174441
return new_buf:6435022 32768
return new_buf:16793855 65536
return new_buf:393061 4896
return new_buf:808517636 128
return new_buf:926431544 926431488
return new_buf:269488144 16774400
return new_buf:15937585 100
return new_buf:271593521 255
return new_buf:12627 256
return new_buf:4239616 78112
return new_buf:808464465 3584
return new_buf:808468016 808467969
return new_buf:457768992 33554432
return new_buf:33554449 64768
return new_buf:808517632 128
return new_buf:808398899 808398899
return new_buf:16728113 4079106
return new_buf:1060913 1060864
return new_buf:65535 8192
return new_buf:67398764 1132
return new_buf:2159089 8192
return new_buf:839912753 540094018
return new_buf:101 101
return new_buf:824193250 3149566
return new_buf:34956289 136548
return new_buf:77873 65540
return new_buf:808464433 4194304
return new_buf:8401280 8392704
return new_buf:789604 789604
return new_buf:875634737 875634737
return new_buf:2502727 2
return new_buf:808464433 807600000
return new_buf:809054513 808788000
return new_buf:16802816 256
return new_buf:1048625 9
return new_buf:926955402 926365489
return new_buf:33687051 33687051
return new_buf:823537715 823525376
return new_buf:4096 4096
return new_buf:875573297 33554432
return new_buf:808504627 808504627
return new_buf:405811200 65524
return new_buf:2359332 512
return new_buf:12337 43
return new_buf:125370368 489728
return new_buf:755052613 755052613
return new_buf:3162184 3162184
return new_buf:33549054 32112641
return new_buf:838521301 826409215
return new_buf:268436480 268436480
return new_buf:942747701 720896
return new_buf:1329 1285
return new_buf:268484056 268484056
return new_buf:825307441 504766720
return new_buf:523251236 2043961
return new_buf:808464433 808464433
return new_buf:472784934 86048767
return new_buf:808464433 524288
return new_buf:16842544 16802816
return new_buf:16777138 65535
return new_buf:23 23
return new_buf:4206641 4194559
return new_buf:808464432 256
return new_buf:808464433 131072
return new_buf:3214897 3214848
return new_buf:822751537 822746112
return new_buf:12337 32
return new_buf:268467968 16773376
return new_buf:808464433 808464433
return new_buf:65663 65585
return new_buf:824193328 5120
return new_buf:12593 17
return new_buf:381825329 1179648
return new_buf:64511 52
return new_buf:4259844 32768
return new_buf:16186161 4228864
